"hdct02" "hdct03" "hdct04" "pop" "ewloc" "nsloc" "ld02" "fl02" "ld03" "fl03" "ld04" "fl04"
4 2  0 "Nessman"  -2   4 1 1 1 1 1 0
2 1  1 "Eriley"  -2   5 1 1 1 1 1 1
0 2  0 "Eriley"  -2   6 1 0 1 1 1 0
2 0  3 "Eriley"  -2   7 1 1 1 0 1 1
1 0  3 "AA"  -2   8 1 1 1 0 1 1
0 0  1 "SPP"  -2  10 1 0 1 0 1 1
0 1  4 "SPP"  -2  11 1 0 1 1 1 1
1 0  4 "SPP"  -2  12 1 1 1 0 1 1
0 0  0 "Stevens"   0 -12 1 0 1 0 0 0
0 0  0 "NWLF"   0 -11 0 0 0 0 0 0
0 0  0 "SPP"   0 -10 0 0 0 0 0 0
0 0  0 "Stevens"   0  -9 1 0 0 0 0 0
0 0  0 "Lf"   0  -8 1 0 1 0 1 0
1 0  3 "Stevens"   0  -7 1 1 1 0 1 1
0 0  0 "Stevens"   0  -6 0 0 0 0 0 0
0 0  0 "NWLF"   0  -5 0 0 0 0 0 0
2 0  0 "Stevens"   0  -4 1 1 0 0 0 0
0 0  0 "Stevens"   0  -3 1 0 1 0 1 0
3 3  7 "Stevens"   0  -2 1 1 1 1 1 1
1 2  8 "NWLF"   0  -1 1 1 1 1 1 1
4 1  4 "NWLF"   0   0 1 1 1 1 1 1
2 2  2 "Lf"   0   1 1 1 1 1 1 1
0 0  0 "Stevens"   0   2 0 0 0 0 0 0
0 0  5 "NWLF"   0   3 1 0 1 0 1 1
3 2  0 "NWLF"   0   4 1 1 1 1 1 0
0 3  2 "NWLF"   0   5 1 0 1 1 1 1
2 0  4 "NWLF"   0   6 1 1 1 0 1 1
2 0  2 "NWLF"   0   7 1 1 1 0 1 1
3 1  3 "AA"   0   8 1 1 1 1 1 1
1 0  2 "NWLF"   0   9 1 1 1 0 1 1
0 0  0 "Stevens"   0  10 0 0 0 0 0 0
0 0  0 "Stevens"   0  11 0 0 0 0 0 0
2 0  0 "Stevens"   0  12 1 1 1 0 0 0
0 0  0 "NWLF"   3 -12 1 0 0 0 0 0
0 0  0 "SPP"   3 -11 1 0 1 0 1 0
0 0  1 "Eriley"   3 -10 1 0 1 0 1 1
0 0  0 "Stevens"   3  -9 0 0 0 0 0 0
1 1  0 "NWLF"   3  -8 1 1 1 1 0 0
1 0  2 "SPP"   3  -7 1 1 1 0 1 1
1 1  2 "SPP"   3  -5 1 1 1 1 1 1
0 0  0 "Eriley"   3  -4 0 0 0 0 0 0
0 0  1 "Eriley"   3  -3 1 0 1 0 1 1
1 0  4 "NWLF"   3  -2 1 1 1 0 1 1
0 0  0 "NWLF"   3  -1 0 0 0 0 0 0
0 1  1 "Lf"   3   0 1 0 1 1 1 1
0 1  0 "SPP"   3   1 1 0 1 1 1 0
0 1  5 "Stevens"   3   2 1 0 1 1 1 1
1 0  1 "NWLF"   3   3 1 1 1 0 1 1
0 0  0 "Stevens"   3   4 0 0 0 0 0 0
0 0  0 "Stevens"   3   5 0 0 0 0 0 0
1 0  0 "NWLF"   3   6 1 1 1 0 1 0
0 0  0 "Eriley"   7 -12 1 0 1 0 1 0
0 0  5 "Lf"   7 -11 1 0 1 0 1 1
0 0  0 "SPP"   7 -10 1 0 1 0 1 0
0 0  0 "Eriley"   7  -9 0 0 0 0 0 0
0 0  0 "Eriley"   7  -8 1 0 1 0 1 0
2 0  3 "Eriley"   7  -7 1 1 1 0 1 1
2 1  3 "Nessman"   7  -6 1 1 1 1 1 1
0 1  0 "Eriley"   7  -5 1 0 1 1 1 0
2 5  6 "SPP"   7  -4 1 1 1 1 1 1
0 0  4 "Eriley"   7  -3 1 0 1 0 1 1
1 3  1 "AA"   7  -2 1 1 1 1 1 1
0 0  1 "Eriley"   7  -1 1 0 1 0 1 1
3 3  3 "Eriley"   7   0 1 1 1 1 1 1
1 0  0 "SPP"   7   1 1 1 1 0 1 0
1 1  0 "Eriley"   7   2 1 1 1 1 1 0
1 0  0 "SPP"   7   3 1 1 1 0 1 0
1 0  1 "SPP"   7   4 1 1 1 0 1 1
0 0  3 "Nessman"   7   5 1 0 1 0 1 1
0 0  2 "AA"   7   6 1 0 1 0 1 1
0 0  0 "Eriley"   7   7 1 0 1 0 1 0
0 0  0 "Lf"   7   8 0 0 0 0 0 0
1 2  0 "Eriley"   7   9 1 1 1 1 1 0
0 0  1 "Nessman"   7  10 1 0 1 0 1 1
0 1  2 "SPP"   7  11 1 0 1 1 1 1
1 1  1 "SPP"   7  12 1 1 1 1 1 1
0 0  0 "NWLF" -10 -12 0 0 0 0 0 0
0 0  0 "Lf" -10 -11 1 0 1 0 1 0
0 0  0 "Stevens" -10 -10 0 0 0 0 0 0
0 0  0 "NWLF" -10  -9 0 0 0 0 0 0
0 0  0 "NWLF" -10  -8 0 0 0 0 0 0
0 0  0 "NWLF" -10  -6 0 0 0 0 0 0
0 0  0 "NWLF" -10  -5 1 0 1 0 1 0
0 0  0 "Stevens" -10  -4 1 0 1 0 1 0
1 0  2 "SPP" -10  -3 1 1 1 0 1 1
0 0  0 "Stevens" -10  -2 0 0 0 0 0 0
0 0  0 "NWLF" -10  -1 1 0 1 0 1 0
0 0  0 "Stevens" -10   0 1 0 1 0 0 0
0 0  0 "Stevens" -10   1 1 0 1 0 1 0
0 0  0 "NWLF" -10   2 1 0 1 0 1 0
0 0  0 "Stevens" -10   3 1 0 1 0 0 0
0 0  0 "NWLF" -10   4 1 0 0 0 0 0
0 0  1 "NWLF" -10   5 1 0 1 0 1 1
0 0  1 "Lf" -10   7 1 0 1 0 1 1
0 0  2 "AA" -10   8 1 0 1 0 1 1
0 1  5 "Stevens" -10   9 1 0 1 1 1 1
0 0  3 "Stevens" -10  10 1 0 1 0 1 1
0 0  1 "NWLF" -10  11 1 0 1 0 1 1
0 0  2 "Stevens" -10  12 1 0 1 0 1 1
0 0  0 "Stevens" -10   6 0 0 0 0 0 0
0 0  0 "Stevens" -10  -7 0 0 0 0 0 0
